model_name,data_file,trained_at,training_duration,num_layers,layer_sizes,learning_rate,epochs,batch_size,test_size,num_features,num_outputs,mae,rmse,r2,mape,max_error,median_ae,val_loss_best,best_epoch,inference_time_ms,activation,loss_function,optimizer,dropout_rate,early_stopping,batch_norm
model_2D_002__250512_144423,2D_002.csv,2025-05-12 14:44:23,470.598612,2,"[128, 64]",0.0005,30,8,0.2,6,1,0.092169275714766,0.3508386257642692,0.9298476978376576,25910.770944973803,5.550556432303026,0.0134811696117234,0.0873909443616867,17,0.0248876833047805,"<LeakyReLU name=leaky_re_lu, built=True>",mae,RMSprop,0.3,True,False
model_2D_002__250512_144723,2D_002.csv,2025-05-12 14:47:23,179.5518,1,[64],0.001,200,64,0.2,6,1,0.1130051353792105,0.3204251402185694,0.9414832373640628,89574.37224676937,5.722545873220994,0.0553543773569717,0.0853354111313819,109,0.0270961793971099,tanh,mse,RMSprop,0.5,True,False
model_2D_002__250512_145016,2D_002.csv,2025-05-12 14:50:16,172.06567,3,"[256, 128, 64]",0.005,50,16,0.2,6,1,0.0407424950937575,0.0941688684211417,0.994945923295902,9520.815759389854,2.39392591625078,0.0236200786309818,0.0074237352237105,11,0.0290188883927134,"<LeakyReLU name=leaky_re_lu, built=True>",mse,Adamax,0.1,True,False
model_2D_002__250512_150005,2D_002.csv,2025-05-12 15:00:05,587.373131,3,"[512, 256, 128]",0.005,100,16,0.2,6,1,0.3194152610319736,0.5903096843201504,0.8013964800467587,145259.69171312166,7.304374944265916,0.2208637594432177,0.3041410148143768,12,0.0747457117510956,swish,mse,Adam,0.5,True,False
model_2D_002__250513_174839,2D_002.csv,2025-05-13 17:48:39,240.189424,3,"[256, 128, 64]",0.0005,30,16,0.2,6,1,0.0302570385309663,0.1118617127433834,0.9928683494517618,834.9117281230997,2.708804187814632,0.0037830187425632,0.0283273942768573,29,0.0331721684528944,"<LeakyReLU name=leaky_re_lu, built=True>",mae,Adam,0.2,True,False
model_2D_002__250513_175013,2D_002.csv,2025-05-13 17:50:13,92.388756,2,"[128, 64]",0.001,150,32,0.2,6,1,0.0260322222953845,0.0866197160092101,0.9957237741323888,4501.076971800624,2.2277138343416,0.0050501365683005,0.0249932892620563,11,0.0676462830317197,swish,mae,Adam,0.1,True,False
model_2D_002__250513_175238,2D_002.csv,2025-05-13 17:52:38,143.968338,2,"[128, 64]",0.001,30,32,0.2,6,1,0.0339452879908731,0.087978453781919,0.9955885661098616,6246.578221652098,1.961699735220506,0.0121861883630938,0.0034091260749846,21,0.0498062316160075,"<LeakyReLU name=leaky_re_lu, built=True>",huber,Nadam,0.1,True,False
model_2D_002__250513_175658,2D_002.csv,2025-05-13 17:56:58,258.517257,3,"[256, 128, 64]",0.0005,150,32,0.2,6,1,0.0233077824605259,0.0824247000340365,0.9961279418052928,1408.474361060428,2.0800411811433577,0.0032202571973282,0.0227754097431898,23,0.0639826922251984,swish,mae,Nadam,0.2,True,False
model_2D_002__250513_175945,2D_002.csv,2025-05-13 17:59:45,166.021729,3,"[128, 64, 32]",0.001,30,32,0.2,6,1,0.0340599913634255,0.0820179654353089,0.9961660617928348,9420.835896078896,1.8822863212190413,0.0144195896632034,0.0029487807769328,14,0.0320253575517416,"<LeakyReLU name=leaky_re_lu, built=True>",huber,Nadam,0.1,True,False
model_2D_002__250513_182053,2D_002.csv,2025-05-13 18:20:53,866.822192,4,"[288, 384, 192, 352]",0.0001255737104044,30,8,0.2,6,1,0.0314406631846387,0.0785663536812076,0.9964819636645924,4065.425700422047,1.754140149649217,0.0069584524362548,0.0055115879513323,13,0.1104985099411046,swish,mse,Adam,0.1084833110983124,True,False
model_2D_002__250513_182451,2D_002.csv,2025-05-13 18:24:51,236.058611,2,"[416, 224]",0.00028352087091,30,32,0.2,6,1,0.0196162492518931,0.0750116047580264,0.9967931101836374,1050.8393257275302,1.995807897146776,0.0015741545416524,0.0188032183796167,19,0.0566927017795785,swish,mae,Adam,0.0182493070930367,True,False
model_2D_002__250513_183523,2D_002.csv,2025-05-13 18:35:23,630.742156,2,"[96, 384]",0.0001026931701854,200,16,0.2,6,1,0.0939335001942319,0.2905007795454907,0.9519025856936496,2572.350030044024,3.1357796302400374,0.0046027606873598,0.0922901704907417,46,0.0595198742183113,relu,mae,Adam,0.4519757559110589,True,False
model_2D_002__250513_185104,2D_002.csv,2025-05-13 18:51:04,939.246905,1,[64],0.0040216693824921,50,8,0.2,6,1,0.0476894484343003,0.1020229462612248,0.9940677035235376,15867.212991383132,2.240325223501756,0.023753420256876,0.0045148911885917,49,0.0516493086730087,swish,huber,RMSprop,0.2877862247551931,True,False
model_2D_002__250513_185944,2D_002.csv,2025-05-13 18:59:44,517.715676,2,"[480, 480]",0.0024834014172312,50,32,0.2,6,1,0.0244874213380395,0.0728188509731016,0.9969778586791072,3350.6394689908666,1.49681783824785,0.0057881409780398,0.0047475104220211,36,0.0905996926746913,swish,mse,Adam,0.0628930083889538,True,False
model_2D_002__250513_190325,2D_002.csv,2025-05-13 19:03:25,219.099074,4,"[384, 192, 64, 384]",0.0036556165565432,50,32,0.2,6,1,0.0768958776769739,0.2525180086279917,0.9636577478852858,5835.780781384715,5.208576928671434,0.0229298607276248,0.0724087283015251,13,0.0666254404236868,tanh,mae,Adam,0.0678470900478814,True,False
model_2D_002__250513_191347,2D_002.csv,2025-05-13 19:13:47,619.972822,4,"[96, 384, 320, 416]",0.000153987350621,200,32,0.2,6,1,0.0320890147158566,0.080913976645773,0.9962685792965849,4391.550002178698,2.0082094779573225,0.0133042165689133,0.0056911776773631,30,0.0750798218388562,swish,mse,Nadam,0.4207632000519445,True,False
model_2D_002__250513_191614,2D_002.csv,2025-05-13 19:16:14,145.182246,1,[288],0.0031748937461231,50,16,0.2,6,1,0.0631217843895195,0.1352591102538394,0.989572980690234,14888.846354973744,2.779412326852718,0.0348625062293804,0.0156041104346513,5,0.0561974077692645,relu,mse,RMSprop,0.4586495841383559,True,False
model_2D_002__250513_191720,2D_002.csv,2025-05-13 19:17:20,64.665632,1,[64],0.0008798626942528,30,64,0.2,6,1,0.0335901350410546,0.1152636683241864,0.9924279756920914,467.6980871820944,2.7476254082125813,0.0039998092728832,0.0322989448904991,16,0.053385684481547,relu,mae,Nadam,0.3200675499284654,True,False
model_2D_002__250513_192117,2D_002.csv,2025-05-13 19:21:17,235.036607,1,[384],0.0013417669294435,100,16,0.2,6,1,0.0526012677147742,0.0942630747684696,0.9949358060613808,28848.25632994482,1.9802773109041,0.0379249736371379,0.0080016963183879,14,0.0508054209958573,relu,mse,Nadam,0.3786142290769366,True,False
model_2D_002__250513_192309,2D_002.csv,2025-05-13 19:23:09,109.695107,3,"[512, 128, 448]",0.0003491399407801,30,64,0.2,6,1,0.0489545838768965,0.1427464537493818,0.9883866428835868,10735.397899263931,3.461392652090624,0.0149488845147538,0.0076449676416814,9,0.0844209312493658,tanh,huber,Adam,0.1820618249218559,True,False
model_2D_002__250513_192642,2D_002.csv,2025-05-13 19:26:42,211.508,2,"[512, 512]",0.0092766352424505,100,32,0.2,6,1,0.0318078064485259,0.1005735902306213,0.9942350568016538,1537.8811601080645,2.460603963430956,0.0029862565310352,0.0304365847259759,7,0.0733704598475386,swish,mae,Adam,0.006239042451562,True,False
model_2D_002__250513_193106,2D_002.csv,2025-05-13 19:31:06,261.871067,2,"[416, 32]",0.0005262370787832,50,32,0.2,6,1,0.0371401785508072,0.0834070833206268,0.9960350930979937,9668.7527512666,1.991975080069139,0.0192881453949386,0.0061606806702911,29,0.0587293371653914,swish,mse,Adam,0.1911890806980832,True,False
model_2D_002__250513_193803,2D_002.csv,2025-05-13 19:38:03,414.914165,3,"[448, 256, 512]",0.0015294686816845,30,32,0.2,6,1,0.0220635085246924,0.0778739251532645,0.9965437013948688,1503.529304566344,1.8446657767854475,0.0029486732216147,0.0212392527610063,21,0.0802328795008725,swish,mae,Adam,0.0014085559133171,True,False
model_2D_002__250513_194218,2D_002.csv,2025-05-13 19:42:18,252.354663,3,"[416, 256, 512]",0.0003089948338546,30,32,0.2,6,1,0.0213791757848938,0.0744818412299481,0.9968382470426356,2872.819318628902,1.8101065269075176,0.0031490672382805,0.0205554403364658,11,0.089825914399094,swish,mae,RMSprop,0.001557885842125,True,False
model_2D_002__250513_194622,2D_002.csv,2025-05-13 19:46:22,242.684934,3,"[192, 256, 352]",0.0002740990732872,30,32,0.2,6,1,0.0254995329498521,0.0965364741711541,0.9946885879920234,752.4577285081659,2.425185260812679,0.0039120833472289,0.0244140345603227,15,0.0650475959895032,swish,mae,RMSprop,0.1520044413408326,True,False
model_2D_002__250513_194954,2D_002.csv,2025-05-13 19:49:54,209.910744,3,"[352, 128, 160]",0.0002469365441431,30,32,0.2,6,1,0.059700385919138,0.2640645680744983,0.9602582132103428,16391.66179167353,5.456051122244432,0.0197085962335551,0.0552370697259902,27,0.0631673721591916,tanh,mae,RMSprop,0.0820214630997744,True,False
model_2D_002__250513_195315,2D_002.csv,2025-05-13 19:53:15,199.146252,3,"[192, 320, 416]",0.0005771565450426,30,64,0.2,6,1,0.0308571486296661,0.0941776212650943,0.9949449837157336,3228.673765035784,2.2358095756135725,0.0050557877693542,0.0293129831552505,20,0.0676707219904377,swish,mae,RMSprop,0.1309854251599732,True,False
model_2D_002__250513_200534,2D_002.csv,2025-05-13 20:05:34,737.023346,2,"[352, 192]",0.0002092894387836,30,8,0.2,6,1,0.0342382897453726,0.0839323310106716,0.9959849986585678,8469.614495154547,2.1273644080720686,0.0188540533397577,0.0030206013470888,29,0.065941626816286,swish,huber,RMSprop,0.2272462530685916,True,False
model_2D_002__250513_200923,2D_002.csv,2025-05-13 20:09:23,227.336891,3,"[224, 320, 512]",0.0004445873610687,100,32,0.2,6,1,0.1033353253280078,0.3876739636370118,0.9143434862659396,17225.195818823555,6.593427907522752,0.0472372350716074,0.0994561985135078,11,0.0696914642841142,tanh,mae,RMSprop,0.0354067288920846,True,False
model_2D_002__250513_201246,2D_002.csv,2025-05-13 20:12:46,200.859921,2,"[448, 160]",0.0007898191642462,200,32,0.2,6,1,0.02623055630487,0.0889369608302187,0.9954919191693058,6265.891062522485,2.2488634696565413,0.0035971980151907,0.0251106787472963,14,0.0629878312712796,swish,mae,Nadam,0.2468768672012938,True,False
model_2D_002__250513_201904,2D_002.csv,2025-05-13 20:19:04,375.448479,3,"[448, 256, 512]",0.0015648822019724,30,32,0.2,6,1,0.0253411101940006,0.0757759485106177,0.9967274228944292,3956.259386739648,1.6694651222628742,0.0063177713688749,0.0245667994022369,20,0.0841288956813601,swish,mae,Adam,0.0046899300057731,True,False
model_2D_002__250513_202459,2D_002.csv,2025-05-13 20:24:59,353.300443,3,"[320, 288, 416]",0.0019482712551265,30,32,0.2,6,1,0.0220780640608725,0.073523531476524,0.9969190841034534,1233.8473401926733,1.6472456565461897,0.0026728011950935,0.0218438245356082,23,0.0728063216678657,swish,mae,Adam,0.0044383749660506,True,False
model_2D_002__250513_202842,2D_002.csv,2025-05-13 20:28:42,220.883543,4,"[448, 224, 512, 32]",0.0010066291866477,30,32,0.2,6,1,0.0300223333321401,0.1011749195241184,0.9941659135465089,1027.8185104047536,1.789953481253221,0.0031619710125689,0.0291206482797861,5,0.0745703994023623,swish,mae,Adam,0.0495818361174997,True,False
model_2D_002__250513_203122,2D_002.csv,2025-05-13 20:31:22,157.790428,3,"[416, 32, 256]",0.0001673757029796,30,32,0.2,6,1,0.039589675552855,0.1350654419709,0.9896028187871112,1649.419996815939,2.872670423086717,0.0068456600183246,0.0372948311269283,9,0.0621564516352159,swish,mae,Adam,0.1053227205422751,True,False
